model,top1,top3,top5,mrr
Naive (most-frequent),0.023,0.088,0.215,0.080
Markov order-1,0.563,0.950,0.968,0.751
Markov order-2,0.680,0.993,1.000,0.836
Markov order-3,0.700,0.998,1.000,0.848
Dual ensemble (ours),0.700,0.998,1.000,0.847
